title,id,genres,runtime_seconds,number_of_writers
The Life of David Gale (2003),tt0289992,"['Crime', 'Drama', 'Mystery', 'Thriller']",7800.0,1.0
Wing Commander (1999),tt0131646,"['Action', 'Adventure', 'Sci-Fi']",6000.0,2.0
Django Unchained (2012),tt1853728,"['Drama', 'Western']",9900.0,1.0
Alien (1979),tt0078748,"['Horror', 'Sci-Fi']",7020.0,2.0
Indiana Jones and the Last Crusade (1989),tt0097576,"['Action', 'Adventure']",7620.0,3.0
Snatch (2000),tt0208092,"['Comedy', 'Crime']",6120.0,1.0
Rambo: First Blood Part II (1985),tt0089880,"['Action', 'Adventure', 'Thriller']",5760.0,3.0
Fargo (1996),tt0116282,"['Crime', 'Drama', 'Thriller']",5880.0,2.0
Let the Right One In (2008),tt1139797,"['Drama', 'Fantasy', 'Horror', 'Romance']",6840.0,1.0
Black Swan (2010),tt0947798,"['Drama', 'Thriller']",6480.0,3.0
King Kong (1976),tt0074751,"['Adventure', 'Horror']",8040.0,3.0
The Machinist (2004),tt0361862,"['Drama', 'Thriller']",6060.0,1.0
A Nightmare on Elm Street (1984),tt0087800,['Horror'],5460.0,1.0
Brazil (1985),tt0088846,"['Drama', 'Sci-Fi', 'Thriller']",7920.0,3.0
The Fast and the Furious (2001),tt0232500,"['Action', 'Crime', 'Thriller']",6360.0,3.0
Change of Habit (1969),tt0065537,"['Crime', 'Drama', 'Music', 'Romance']",5580.0,3.0
American Beauty (1999),tt0169547,['Drama'],7320.0,1.0
Psycho (1960),tt0054215,"['Drama', 'Horror', 'Mystery', 'Thriller']",6540.0,2.0
Terminator 3: Rise of the Machines (2003),tt0181852,"['Action', 'Sci-Fi']",6540.0,3.0
Night of the Living Dead (1968),tt0063350,"['Horror', 'Thriller']",5760.0,2.0
Man on Fire (2004),tt0328107,"['Action', 'Crime', 'Drama', 'Thriller']",8760.0,2.0
Star Wars: Episode IV - A New Hope (1977),tt0076759,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",7260.0,1.0
The Silence of the Lambs (1991),tt0102926,"['Crime', 'Drama', 'Horror', 'Thriller']",7080.0,2.0
The Others (2001),tt0230600,"['Horror', 'Mystery', 'Thriller']",6240.0,1.0
Minority Report (2002),tt0181689,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",8700.0,3.0
Sling Blade (1996),tt0117666,['Drama'],8100.0,1.0
Schindler's List (1993),tt0108052,"['Biography', 'Drama', 'History']",11700.0,2.0
3000 Miles to Graceland (2001),tt0233142,"['Action', 'Comedy', 'Crime', 'Thriller']",7500.0,3.0
Magnolia (1999),tt0175880,['Drama'],11280.0,1.0
The Karate Kid Part II (1986),tt0091326,"['Action', 'Family', 'Sport']",6780.0,1.0
Planet of the Apes (2001),tt0133152,"['Action', 'Adventure', 'Sci-Fi']",7200.0,3.0
The Godfather: Part II (1974),,,,
Indiana Jones and the Temple of Doom (1984),tt0087469,"['Action', 'Adventure']",7080.0,3.0
Indiana Jones and the Raiders of the Lost Ark (1981),,,,
The Iron Giant (1999),tt0129167,"['Animation', 'Action', 'Adventure']",5160.0,3.0
